Survey Year,UNITID,Institution Name,State CD,Classification Name,Classification Other,Sanction Code,Sanction Name,Male Undergraduates,Female Undergraduates,Total Undergraduates,Men's Team Average Annual Institutional Salary per Head Coach,Men's Team Number of Head Coaches Included in Average,Men's Team Average Annual Institutional Salary per FTE,Men's Team Number of FTEs Included in Average, Women's Team Average Annual Institutional Salary per Head Coach,Women's Team Number of Head Coaches Included in Average,Women's Team Average Annual Institutional Salary per FTE,Women's Team Number of FTEs Included in Average, Coed Team Average Annual Institutional Salary per Head Coach,Coed Team Number of Head Coaches Included in Average,Coed Team Average Annual Institutional Salary per FTE,Coed Team Number of FTEs Included in Average
2005,152992,Briar Cliff University,IA,NAIA Division II,,2,NAIA,412,376,788,14080,7,37908,2.60,10546,7,30131,2.45,,,,
2005,153001,Buena Vista University,IA,NCAA Division III with football,,1,NCAA,544,979,1523,21579,8,43266,3.99,18307,7,41338,3.10,,,,
2005,153108,Central College,IA,NCAA Division III with football,,1,NCAA,573,603,1176,20982,9,43814,4.31,19157,8,41873,3.66,,,,
2005,153126,Clarke University,IA,NAIA Division I,,2,NAIA,251,481,732,17361,8,47728,2.91,13427,8,36913,2.91,,,,
2005,153144,Coe College,IA,NCAA Division III with football,,1,NCAA,552,753,1305,28629,10,54017,5.30,19942,9,47231,3.80,,,,
2005,153162,Cornell College,IA,NCAA Division III with football,,1,NCAA,489,484,973,30949,8,58257,4.25,16841,8,44909,3.00,,,,
2005,153250,Dordt College,IA,NAIA Division II,,2,NAIA,721,646,1367,6137,7,28639,1.50,6137,7,28639,1.50,,,,
2005,153269,Drake University,IA,NCAA Division I-FCS,,1,NCAA,1313,1778,3091,69566,7,92755,5.25,55219,9,68548,7.25,,,,
2005,153302,Emmaus Bible College,IA,Other,ACCA and MCCC,9,other,99,131,230,1000,1,1667,0.60,1000,1,1667,0.60,,,,
2005,153320,Faith Baptist Bible College and Theological Seminary,IA,NCCAA Division II,,4,NCCAA,88,106,194,3500,2,7000,1.00,3500,3,5250,2.00,,,,
2005,153366,Graceland University-Lamoni,IA,NAIA Division II,,2,NAIA,514,652,1166,16402,9,36359,4.06,13051,8,37967,2.75,,,,
2005,153375,Grand View University,IA,NAIA Division II,,2,NAIA,746,897,1643,17703,5,32187,2.75,22492,7,34988,4.50,,,,
2005,153384,Grinnell College,IA,NCAA Division III with football,,1,NCAA,743,910,1653,23306,10,33294,7.00,20353,10,29076,7.00,,,,
2005,153603,Iowa State University,IA,NCAA Division I-FBS,,1,NCAA,16457,12334,28791,439350,5,439350,5.00,123556,9,123556,9.00,,,,
2005,153621,Iowa Wesleyan University,IA,NCAA Division III with football,,1,NCAA,237,242,479,33653,6,57856,3.49,37052,6,65194,3.41,,,,
2005,153825,Loras College,IA,NCAA Division III with football,,1,NCAA,731,669,1400,23575,9,52649,4.03,16129,8,38175,3.38,,,,
2005,153834,Luther College,IA,NCAA Division III with football,,1,NCAA,943,1164,2107,32277,10,72208,4.47,21721,9,59419,3.29,,,,
2005,154004,Morningside College,IA,NAIA Division II,,2,NAIA,596,697,1293,28756,9,43134,6.00,27082,8,39392,5.50,,,,
2005,154013,Mount Mercy University,IA,NAIA Division I,,2,NAIA,346,700,1046,12497,6,37491,2.00,8856,7,30996,2.00,,,,
2005,154101,Northwestern College,IA,NAIA Division II,,2,NAIA,455,586,1041,17937,8,45992,3.12,13253,7,36098,2.57,,,,
2005,154235,Saint Ambrose University,IA,NAIA Division II,,2,NAIA,950,1237,2187,14783,8,29566,4.00,9240,8,24640,3.00,,,,
2005,154350,Simpson College,IA,NCAA Division III with football,,1,NCAA,605,774,1379,20751,9,51307,3.64,13487,9,35286,3.44,,,,
2005,153278,University of Dubuque,IA,NCAA Division III with football,,1,NCAA,1035,644,1679,26145,9,29413,8.00,22508,7,31511,5.00,,,,
2005,153658,University of Iowa,IA,NCAA Division I-FBS,,1,NCAA,9801,10889,20690,592076,9,666086,8.00,137713,11,144271,10.50,,,,
2005,154095,University of Northern Iowa,IA,NCAA Division I-FCS,,1,NCAA,3856,5263,9119,129465,6,164226,4.73,70937,8,88810,6.39,,,,
2005,154493,Upper Iowa University,IA,NCAA Division II with football,,1,NCAA,878,1346,2224,38591,6,46309,5.00,29874,5,37342,4.00,,,,
2005,154518,Waldorf University,IA,NAIA Division II,,2,NAIA,867,546,1413,9792,6,32822,1.79,10302,5,36793,1.40,,,,
2005,154527,Wartburg College,IA,NCAA Division III with football,,1,NCAA,686,747,1433,23503,9,54942,3.85,15283,8,42601,2.87,,,,
2005,154590,William Penn University,IA,NAIA Division I,,2,NAIA,613,498,1111,23369,8,42012,4.45,22403,6,34030,3.95,,,,
2006,152992,Briar Cliff University,IA,NAIA Division II,,2,NAIA,412,376,788,15567,7,41911,2.60,12193,7,34837,2.45,,,,
2006,153001,Buena Vista University,IA,NCAA Division III with football,,1,NCAA,544,979,1523,34080,8,63111,4.32,28550,7,63646,3.14,,,,
2006,153108,Central College,IA,NCAA Division III with football,,1,NCAA,573,603,1176,28395,9,49622,5.15,25281,8,46494,4.35,,,,
2006,153126,Clarke University,IA,NAIA Division I,,2,NAIA,251,481,732,14947,8,42554,2.81,12457,8,38928,2.56,,,,
2006,153144,Coe College,IA,NCAA Division III with football,,1,NCAA,552,753,1305,59441,10,112153,5.30,47870,9,113376,3.80,,,,
2006,153162,Cornell College,IA,NCAA Division III with football,,1,NCAA,489,484,973,32857,9,59143,5.00,24303,7,42530,4.00,,,,
2006,153250,Dordt College,IA,NAIA Division II,,2,NAIA,721,646,1367,6321,7,10535,4.20,6321,7,10535,4.20,,,,
2006,153269,Drake University,IA,NCAA Division I-FCS,,1,NCAA,1313,1778,3091,57195,6,68634,5.00,45184,8,54768,6.60,,,,
2006,153302,Emmaus Bible College,IA,Other,ACCA and MCCC,9,other,99,131,230,0,0,,0.00,0,0,,0.00,,,,
2006,153320,Faith Baptist Bible College and Theological Seminary,IA,NCCAA Division II,,4,NCCAA,88,106,194,3600,3,13012,0.83,3650,2,12586,0.58,,,,
2006,153366,Graceland University-Lamoni,IA,NAIA Division II,,2,NAIA,514,652,1166,17025,10,37833,4.50,16283,9,35743,4.10,,,,
